"Region","Alder","Kon","000007Y7 2024"
"2080B4010_DeSO2025","80-","1+2",171
"2080B5010_DeSO2025","totalt","1+2",1907
"2080B5010_DeSO2025","65-69","1+2",109
"2080B5010_DeSO2025","70-74","1+2",116
"2080B5010_DeSO2025","75-79","1+2",102
"2080B5010_DeSO2025","80-","1+2",153
"2080C1010_DeSO2025","totalt","1+2",1387
"2080C1010_DeSO2025","65-69","1+2",56
"2080C1010_DeSO2025","70-74","1+2",55
"2080C1010_DeSO2025","75-79","1+2",68
"2080C1010_DeSO2025","80-","1+2",65
"2080C1020_DeSO2025","totalt","1+2",1478
"2080C1020_DeSO2025","65-69","1+2",90
"2080C1020_DeSO2025","70-74","1+2",91
"2080C1020_DeSO2025","75-79","1+2",70
"2080C1020_DeSO2025","80-","1+2",92
"2080C1030_DeSO2025","totalt","1+2",2908
"2080C1030_DeSO2025","65-69","1+2",48
"2080C1030_DeSO2025","70-74","1+2",67
"2080C1030_DeSO2025","75-79","1+2",65
"2080C1030_DeSO2025","80-","1+2",93
"2080C1040_DeSO2025","totalt","1+2",2552
"2080C1040_DeSO2025","65-69","1+2",147
"2080C1040_DeSO2025","70-74","1+2",154
"2080C1040_DeSO2025","75-79","1+2",146
"2080C1040_DeSO2025","80-","1+2",221
"2080C1050_DeSO2025","totalt","1+2",1275
"2080C1050_DeSO2025","65-69","1+2",79
"2080C1050_DeSO2025","70-74","1+2",61
"2080C1050_DeSO2025","75-79","1+2",66
"2080C1050_DeSO2025","80-","1+2",50
"2080C1060_DeSO2025","totalt","1+2",2071
"2080C1060_DeSO2025","65-69","1+2",140
"2080C1060_DeSO2025","70-74","1+2",122
"2080C1060_DeSO2025","75-79","1+2",112
"2080C1060_DeSO2025","80-","1+2",119
"2080C1070_DeSO2025","totalt","1+2",1789
"2080C1070_DeSO2025","65-69","1+2",80
"2080C1070_DeSO2025","70-74","1+2",72
"2080C1070_DeSO2025","75-79","1+2",98
"2080C1070_DeSO2025","80-","1+2",125
"2080C1080_DeSO2025","totalt","1+2",1778
"2080C1080_DeSO2025","65-69","1+2",108
"2080C1080_DeSO2025","70-74","1+2",85
"2080C1080_DeSO2025","75-79","1+2",87
"2080C1080_DeSO2025","80-","1+2",87
"2080C1090_DeSO2025","totalt","1+2",1607
"2080C1090_DeSO2025","65-69","1+2",85
"2080C1090_DeSO2025","70-74","1+2",82
"2080C1090_DeSO2025","75-79","1+2",69
"2080C1090_DeSO2025","80-","1+2",154
"2080C1100_DeSO2025","totalt","1+2",1658
"2080C1100_DeSO2025","65-69","1+2",93
"2080C1100_DeSO2025","70-74","1+2",91
"2080C1100_DeSO2025","75-79","1+2",68
"2080C1100_DeSO2025","80-","1+2",82
"2080C1110_DeSO2025","totalt","1+2",1588
"2080C1110_DeSO2025","65-69","1+2",66
"2080C1110_DeSO2025","70-74","1+2",71
"2080C1110_DeSO2025","75-79","1+2",70
"2080C1110_DeSO2025","80-","1+2",133
"2080C1120_DeSO2025","totalt","1+2",1608
"2080C1120_DeSO2025","65-69","1+2",117
"2080C1120_DeSO2025","70-74","1+2",111
"2080C1120_DeSO2025","75-79","1+2",121
"2080C1120_DeSO2025","80-","1+2",91
"2080C1130_DeSO2025","totalt","1+2",1655
"2080C1130_DeSO2025","65-69","1+2",108
"2080C1130_DeSO2025","70-74","1+2",123
"2080C1130_DeSO2025","75-79","1+2",143
"2080C1130_DeSO2025","80-","1+2",165
"2080C1140_DeSO2025","totalt","1+2",1369
"2080C1140_DeSO2025","65-69","1+2",80
"2080C1140_DeSO2025","70-74","1+2",112
"2080C1140_DeSO2025","75-79","1+2",114
"2080C1140_DeSO2025","80-","1+2",152
"2080C1150_DeSO2025","totalt","1+2",1079
"2080C1150_DeSO2025","65-69","1+2",55
"2080C1150_DeSO2025","70-74","1+2",71
"2080C1150_DeSO2025","75-79","1+2",75
"2080C1150_DeSO2025","80-","1+2",88
"2080C1160_DeSO2025","totalt","1+2",1149
"2080C1160_DeSO2025","65-69","1+2",60
"2080C1160_DeSO2025","70-74","1+2",91
"2080C1160_DeSO2025","75-79","1+2",66
"2080C1160_DeSO2025","80-","1+2",107
"2080C1170_DeSO2025","totalt","1+2",1180
"2080C1170_DeSO2025","65-69","1+2",65
"2080C1170_DeSO2025","70-74","1+2",99
"2080C1170_DeSO2025","75-79","1+2",79
"2080C1170_DeSO2025","80-","1+2",60
"2080C1180_DeSO2025","totalt","1+2",1454
"2080C1180_DeSO2025","65-69","1+2",81
"2080C1180_DeSO2025","70-74","1+2",84
"2080C1180_DeSO2025","75-79","1+2",82
"2080C1180_DeSO2025","80-","1+2",118
"2080C1190_DeSO2025","totalt","1+2",1622
"2080C1190_DeSO2025","65-69","1+2",82
"2080C1190_DeSO2025","70-74","1+2",98
"2080C1190_DeSO2025","75-79","1+2",90
"2080C1190_DeSO2025","80-","1+2",220
"2080C1200_DeSO2025","totalt","1+2",1450
"2080C1200_DeSO2025","65-69","1+2",84
"2080C1200_DeSO2025","70-74","1+2",79
"2080C1200_DeSO2025","75-79","1+2",90
"2080C1200_DeSO2025","80-","1+2",86
"2080C1210_DeSO2025","totalt","1+2",1739
"2080C1210_DeSO2025","65-69","1+2",69
"2080C1210_DeSO2025","70-74","1+2",92
"2080C1210_DeSO2025","75-79","1+2",100
"2080C1210_DeSO2025","80-","1+2",140
"2080C1220_DeSO2025","totalt","1+2",1390
"2080C1220_DeSO2025","65-69","1+2",76
"2080C1220_DeSO2025","70-74","1+2",93
"2080C1220_DeSO2025","75-79","1+2",85
"2080C1220_DeSO2025","80-","1+2",70
"2080C1230_DeSO2025","totalt","1+2",1178
"2080C1230_DeSO2025","65-69","1+2",52
"2080C1230_DeSO2025","70-74","1+2",58
"2080C1230_DeSO2025","75-79","1+2",71
"2080C1230_DeSO2025","80-","1+2",49
"2080C1240_DeSO2025","totalt","1+2",1888
"2080C1240_DeSO2025","65-69","1+2",81
"2080C1240_DeSO2025","70-74","1+2",58
"2080C1240_DeSO2025","75-79","1+2",53
"2080C1240_DeSO2025","80-","1+2",65
"2080C1250_DeSO2025","totalt","1+2",1011
"2080C1250_DeSO2025","65-69","1+2",56
"2080C1250_DeSO2025","70-74","1+2",49
"2080C1250_DeSO2025","75-79","1+2",50
"2080C1250_DeSO2025","80-","1+2",92
"2080C1260_DeSO2025","totalt","1+2",2423
"2080C1260_DeSO2025","65-69","1+2",142
"2080C1260_DeSO2025","70-74","1+2",110
"2080C1260_DeSO2025","75-79","1+2",95
"2080C1260_DeSO2025","80-","1+2",115
"2081A0010_DeSO2025","totalt","1+2",752
"2081A0010_DeSO2025","65-69","1+2",64
"2081A0010_DeSO2025","70-74","1+2",57
"2081A0010_DeSO2025","75-79","1+2",49
"2081A0010_DeSO2025","80-","1+2",45
"2081A0020_DeSO2025","totalt","1+2",2477
"2081A0020_DeSO2025","65-69","1+2",200
"2081A0020_DeSO2025","70-74","1+2",174
"2081A0020_DeSO2025","75-79","1+2",163
"2081A0020_DeSO2025","80-","1+2",140
"2081A0030_DeSO2025","totalt","1+2",2131
"2081A0030_DeSO2025","65-69","1+2",120
"2081A0030_DeSO2025","70-74","1+2",144
"2081A0030_DeSO2025","75-79","1+2",126
"2081A0030_DeSO2025","80-","1+2",103
"2081B2010_DeSO2025","totalt","1+2",1095
"2081B2010_DeSO2025","65-69","1+2",77
"2081B2010_DeSO2025","70-74","1+2",69
"2081B2010_DeSO2025","75-79","1+2",59
"2081B2010_DeSO2025","80-","1+2",58
"2081C1010_DeSO2025","totalt","1+2",1821
"2081C1010_DeSO2025","65-69","1+2",114
"2081C1010_DeSO2025","70-74","1+2",99
"2081C1010_DeSO2025","75-79","1+2",116
"2081C1010_DeSO2025","80-","1+2",161
"2081C1020_DeSO2025","totalt","1+2",1547
"2081C1020_DeSO2025","65-69","1+2",94
"2081C1020_DeSO2025","70-74","1+2",59
"2081C1020_DeSO2025","75-79","1+2",66
"2081C1020_DeSO2025","80-","1+2",113
"2081C1030_DeSO2025","totalt","1+2",2109
"2081C1030_DeSO2025","65-69","1+2",97
"2081C1030_DeSO2025","70-74","1+2",123
"2081C1030_DeSO2025","75-79","1+2",134
"2081C1030_DeSO2025","80-","1+2",141
"2081C1040_DeSO2025","totalt","1+2",1967
"2081C1040_DeSO2025","65-69","1+2",101
"2081C1040_DeSO2025","70-74","1+2",106
"2081C1040_DeSO2025","75-79","1+2",79
"2081C1040_DeSO2025","80-","1+2",60
"2081C1050_DeSO2025","totalt","1+2",1840
"2081C1050_DeSO2025","65-69","1+2",140
"2081C1050_DeSO2025","70-74","1+2",94
"2081C1050_DeSO2025","75-79","1+2",134
"2081C1050_DeSO2025","80-","1+2",189
"2081C1060_DeSO2025","totalt","1+2",2079
"2081C1060_DeSO2025","65-69","1+2",135
"2081C1060_DeSO2025","70-74","1+2",116
"2081C1060_DeSO2025","75-79","1+2",88
"2081C1060_DeSO2025","80-","1+2",85
"2081C1070_DeSO2025","totalt","1+2",2046
"2081C1070_DeSO2025","65-69","1+2",81
"2081C1070_DeSO2025","70-74","1+2",69
"2081C1070_DeSO2025","75-79","1+2",95
"2081C1070_DeSO2025","80-","1+2",91
"2081C1080_DeSO2025","totalt","1+2",2350
"2081C1080_DeSO2025","65-69","1+2",116
"2081C1080_DeSO2025","70-74","1+2",94
"2081C1080_DeSO2025","75-79","1+2",81
"2081C1080_DeSO2025","80-","1+2",150
"2081C1090_DeSO2025","totalt","1+2",1928
"2081C1090_DeSO2025","65-69","1+2",103
"2081C1090_DeSO2025","70-74","1+2",80
"2081C1090_DeSO2025","75-79","1+2",63
"2081C1090_DeSO2025","80-","1+2",99
"2081C1100_DeSO2025","totalt","1+2",2052
"2081C1100_DeSO2025","65-69","1+2",92
"2081C1100_DeSO2025","70-74","1+2",73
"2081C1100_DeSO2025","75-79","1+2",137
"2081C1100_DeSO2025","80-","1+2",174
